"Company Name","Open Date","Close Date","Size (Rs Cr)","QIB (x)","NII (x)","Retail (x)","Total (x)","Applications"
"Atmastco Limited","Feb 15, 2024","Feb 20, 2024","56.25","","14.92","18.24","17.61","39,543 (18.24x)"
"Thaai Casting Ltd","Feb 15, 2024","Feb 20, 2024","47.20","144.43","729.72","355.66","375.43","4,49,904 (355.66x)"
"Kalahridhaan Trendz Limited","Feb 15, 2024","Feb 20, 2024","22.49","","6.66","9.63","8.15","7,618 (9.63x)"
"Wise Travel India Limited","Feb 12, 2024","Feb 14, 2024","94.68","106.69","375.56","108.76","163.46","2,26,649 (108.76x)"
"Polysil Irrigation Systems Limited","Feb 08, 2024","Feb 13, 2024","17.44","","2.12","11.62","6.88","8,898 (11.62x)"
"Rudra Gas Enterprise Limited","Feb 08, 2024","Feb 12, 2024","14.16","","286.62","404.38","350.75","2,53,183 (475.02x)"
"Alpex Solar Limited","Feb 08, 2024","Feb 12, 2024","74.52","141.48","502.31","351.89","324.03","6,31,993 (351.89x)"
"Italian Edibles Limited","Feb 02, 2024","Feb 07, 2024","26.66","","177.37","120.62","154.43","1,12,178 (120.62x)"
"Gabriel Pet Straps Limited","Jan 31, 2024","Feb 02, 2024","8.06","","361.56","122.92","246.20","56,375 (179.54x)"
"Baweja Studios Limited","Jan 29, 2024","Feb 01, 2024","97.20","2.17","1.08","4.20","2.62","11,993 (4.20x)"
"Mayank Cattle Food Limited","Jan 29, 2024","Jan 31, 2024","19.44","","5.90","11.77","8.83","9,728 (13.66x)"
"Harshdeep Hortico Limited","Jan 29, 2024","Jan 31, 2024","19.09","213.53","181.95","98.25","131.69","53,805 (114.48x)"
"Megatherm Induction Limited","Jan 29, 2024","Jan 31, 2024","53.91","105.14","307.04","200.51","196.11","2,77,304 (200.51x)"
"Docmode Health Technologies Limited","Jan 25, 2024","Jan 30, 2024","6.71","","194.90","230.38","215.24","58,055 (230.38x)"
"DelaPlex Limited","Jan 25, 2024","Jan 30, 2024","46.08","90.91","335.23","159.91","177.80","2,12,517 (159.91x)"
"Fonebox Retail Limited","Jan 25, 2024","Jan 30, 2024","20.37","138.69","819.99","886.32","659.42","4,29,867 (2066.67x)"
"Brisk Technovision Limited","Jan 23, 2024","Jan 25, 2024","12.48","","58.14","35.87","47.10","22,186 (46.71x)"
"Euphoria Infotech India Limited","Jan 19, 2024","Jan 24, 2024","9.60","413.26","280.88","426.65","383.86","2,35,076 (883.74x)"
"Konstelec Engineers Limited","Jan 19, 2024","Jan 24, 2024","28.70","113.80","421.36","437.67","341.80","2,98,488 (437.67x)"
"Addictive Learning Technology Limited","Jan 19, 2024","Jan 24, 2024","60.16","116.27","414.44","301.71","273.12","4,20,885 (301.71x)"
"Qualitek Labs Limited","Jan 18, 2024","Jan 23, 2024","19.64","","69.37","39.23","58.95","34,950 (37.46x)"
"Maxposure Limited","Jan 15, 2024","Jan 17, 2024","20.26","162.35","1947.55","1034.23","987.47","5,29,528 (1034.23x)"
"Shree Marutinandan Tubes Limited","Jan 12, 2024","Jan 16, 2024","14.30","","32.67","59.71","47.16","32,457 (6.83x)"
"Australian Premium Solar (India) Limited","Jan 11, 2024","Jan 15, 2024","28.08","107.02","772.87","535.77","464.19","4,63,445 (535.77x)"
"New Swan Multitech Limited","Jan 11, 2024","Jan 15, 2024","33.11","110.69","739.72","388.23","384.26","3,56,724 (428.24x)"
"IBL Finance Limited","","Jan 11, 2024","33.41","","9.94","24.03","17.00",""
"Kaushalya Logistics Limited","Dec 29, 2023","Jan 03, 2024","36.60","92.62","847.88","375.44","390.88","3,81,170 (375.54x)"
"Kay Cee Energy & Infra Limited","Dec 28, 2023","Jan 02, 2024","15.93","127.71","1668.97","1311.10","1052.45","6,43,749 (1311.10x)"
